unique_key,created_date,agency,agency_name,complaint_type,descriptor,status,borough,location_type,closed_date
65951223,2025-08-25T21:07:00.000,DEP,Department of Environmental Protection,Water System,Possible Water Main Break (Use Comments) (WA1),Open,QUEENS,,
65947223,2025-08-25T21:06:57.000,NYPD,New York City Police Department,Blocked Driveway,No Access,In Progress,BRONX,Street/Sidewalk,
65952941,2025-08-25T21:06:52.000,NYPD,New York City Police Department,Blocked Driveway,No Access,In Progress,BROOKLYN,Street/Sidewalk,
65949657,2025-08-25T21:06:50.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,In Progress,QUEENS,Street/Sidewalk,
65951511,2025-08-25T21:06:47.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Closed,BRONX,Residential Building/House,2025-08-26T00:27:14.000
65949318,2025-08-25T21:06:14.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Closed,BROOKLYN,Residential Building/House,2025-08-25T21:10:16.000
65948138,2025-08-25T21:06:12.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Closed,MANHATTAN,Club/Bar/Restaurant,2025-08-25T22:29:59.000
65947266,2025-08-25T21:06:10.000,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Blocking Street,In Progress,BRONX,Street,
65951800,2025-08-25T21:05:56.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,In Progress,BROOKLYN,1-2 Family Dwelling,
65947506,2025-08-25T21:05:28.000,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint - Passenger,In Progress,QUEENS,Highway,
65950465,2025-08-25T21:05:11.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Closed,BROOKLYN,Street/Sidewalk,2025-08-25T21:51:46.000
65944584,2025-08-25T21:05:00.000,DOT,Department of Transportation,Street Light Condition,Street Light Out,Open,STATEN ISLAND,,
65945904,2025-08-25T21:04:49.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Closed,MANHATTAN,Street/Sidewalk,2025-08-25T21:18:28.000
65949641,2025-08-25T21:04:48.000,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Food Protection,In Progress,BROOKLYN,Restaurant/Bar/Deli/Bakery,
65946431,2025-08-25T21:04:31.000,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,"Bodega, Deli, or Convenience Store",In Progress,QUEENS,Business,
65951787,2025-08-25T21:04:30.000,DOHMH,Department of Health and Mental Hygiene,Indoor Air Quality,Ventilation,In Progress,BROOKLYN,3+ Family Apartment Building,
65951558,2025-08-25T21:04:27.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Closed,BRONX,Residential Building/House,2025-08-25T22:58:41.000
65944240,2025-08-25T21:04:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),Open,BROOKLYN,,
65944271,2025-08-25T21:04:00.000,DEP,Department of Environmental Protection,Noise,"Noise, Ice Cream Truck (NR4)",Open,BRONX,,
65950023,2025-08-25T21:04:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),Open,QUEENS,,
65951203,2025-08-25T21:04:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),Open,BROOKLYN,,
65952386,2025-08-25T21:03:52.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Closed,BRONX,Street/Sidewalk,2025-08-25T23:20:31.000
65946167,2025-08-25T21:03:46.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,In Progress,QUEENS,Street/Sidewalk,
65947482,2025-08-25T21:03:46.000,NYPD,New York City Police Department,Encampment,N/A,Closed,BRONX,Street/Sidewalk,2025-08-25T21:59:49.000
65951485,2025-08-25T21:03:41.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Closed,MANHATTAN,Club/Bar/Restaurant,2025-08-25T21:23:19.000
65944423,2025-08-25T21:03:39.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Closed,QUEENS,Street/Sidewalk,2025-08-25T21:30:32.000
65952741,2025-08-25T21:03:37.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Closed,BRONX,Residential Building/House,2025-08-25T22:44:20.000
65950204,2025-08-25T21:03:34.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Closed,QUEENS,Street/Sidewalk,2025-08-25T21:53:54.000
65953271,2025-08-25T21:03:32.000,DSNY,Department of Sanitation,Dirty Condition,Trash,In Progress,MANHATTAN,Sidewalk,
65948296,2025-08-25T21:03:01.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Closed,QUEENS,Street/Sidewalk,2025-08-25T23:17:06.000
65949534,2025-08-25T21:02:54.000,NYPD,New York City Police Department,Blocked Driveway,No Access,In Progress,BROOKLYN,Street/Sidewalk,
65951517,2025-08-25T21:02:43.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Closed,MANHATTAN,Residential Building/House,2025-08-25T21:48:31.000
65944905,2025-08-25T21:02:40.000,DPR,Department of Parks and Recreation,Illegal Tree Damage,Trunk Damaged,In Progress,BROOKLYN,Street,
